file,line,reference,status
ui/map_controller.gd,590,LineController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,591,BezierCurveGenerator.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,615,BezierCurveGenerator.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,640,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,640,RiteController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,834,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,835,RiteController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,836,LocationController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,837,RitePosition.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,861,RiteController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,862,RitePosition.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,899,MapController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,982,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/map_controller.gd,982,RitePosition.c,FILE_EXISTS_BODY_UNVERIFIED
ui/over_new_after_story_item.gd,2,OverNewAfterStoryItemController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/over_new_step2_story.gd,2,OverNewStep2StoryController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/over_new_step2_story.gd,3,_Init_d__27.c,MISSING_FILE_NEEDS_REVIEW
ui/point_shop_controller.gd,6,PointShopController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/point_shop_item_controller.gd,5,PointShopItemController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/point_shop_item_controller.gd,97,PointShopItemController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,6,CardController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,15,RiteResultDiceCountPromptController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,239,RitePanelShowController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,398,RiteResultPanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,444,RiteResultPanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,451,RiteResultPanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,461,RiteResultPanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,509,ScrollViewTextController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,510,RiteResultPanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,549,RiteResultPanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,656,RiteResultDiceCountPromptController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,926,RiteResultPanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1012,RiteExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1013,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1026,RiteExtensions.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1124,RitePanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1125,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1128,RitePanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1135,GameController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1164,RiteResultDiceCountPromptController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1194,FuncCompare.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1219,RiteResultPanelController.c,FILE_EXISTS_BODY_UNVERIFIED
ui/rite_view.gd,1220,RiteResultPanelController.__c__DisplayClass56_0.c,FILE_EXISTS_BODY_UNVERIFIED
